
LABEL_TYPE                   PART_NUM           TOP_MARGIN      LEFT_MARGIN   BOTTOM_MARGIN  RIGHT_MARGIN   LABEL_WIDTH    LABEL_HEIGHT    HORIZONTAL_GAP   VERTICAL_GAP

"Return Address"             "Avery 5267"        36.000         20.232          36.00         20.232        126.000         36.000          22.536           0.000
"Address"                    "Avery 5160"        36.000         13.536          36.00         13.536        189.000         72.000           9.000           0.000
"Address"                    "Avery 5260"        36.000         13.536          36.00         13.536        189.000         72.000           9.000           0.000
"Address"                    "Avery 5161"        36.000         11.232          36.00         11.232        288.000         72.000          13.536           0.000
"Address"                    "Avery 5261"        36.000         11.232          36.00         11.232        288.000         72.000          13.536           0.000
"Address"                    "Avery 5162"        59.976         11.232          59.98         11.232        288.000         95.976          13.536           0.000
"Address"                    "Avery 5262"        59.976         11.232          59.98         11.232        288.000         95.976          13.536           0.000
"Address/Shipping"           "Avery 5163"        36.000         11.232          36.00         11.232        288.000        144.000          13.536           0.000
"Address/Shipping"           "Avery 5164"        36.000         11.232          36.00         11.232        288.000        239.976          13.536           0.000
"Clear Address"              "Avery 5660"        36.000          0.000          36.00          0.000        203.976         72.000           0.000           0.000
"Clear Address"              "Avery 5662"        60.120          0.000          60.12          0.000        306.000         95.976           0.000           0.000
"Clear Address"              "Avery 5663"        36.000          0.000          36.00          0.000        306.000        144.000           0.000           0.000
"Full Sheet"                 "Avery 5165"         0.000          0.000           0.00          0.000        612.000        792.000           0.000           0.000
"File Folder"                "Avery 5266"        36.000         38.232          36.00         38.232        247.536         48.024          40.464           0.000
"'3-1/2' Diskette'"          "Avery 5196"        36.000          9.000          36.00          9.000        198.000        198.000           0.000          18.000
"'3-1/2' Diskette-Red'"      "Avery 5096"        36.000          9.000          36.00          9.000        198.000        198.000           0.000          18.000
"'3-1/2' Diskette-Blue'"     "Avery 5896"        36.000          9.000          36.00          9.000        198.000        198.000           0.000          18.000
"Audio Cassette"             "Avery 5198"        36.000         36.000          36.00         36.000        252.000        120.024          36.000           0.000
"Video Cassette Face"        "Avery 5199"        66.024         76.968          66.02         76.968        220.536        131.976          17.064           0.000
"Video Cassette Spine"       ""                  36.000         96.768          36.00         96.768        418.536         48.024           0.000           0.000
"Name Badge - Red"           "Avery 5095"        41.976         49.536          42.05         49.536        243.000        167.976          27.000          12.024
"Name Badge"                 "Avery 5395"        41.976         49.536          42.05         49.536        243.000        167.976          27.000          12.024
"Name Badge - Blue"          "Avery 5895"        41.976         49.536          42.05         49.536        243.000        167.976          27.000          12.024
"Name Tag"                   "Avery 5383"        84.024         54.000          83.88         54.000        252.000        156.024           0.000           0.000
"Name Tag - Blue"            "Avery 5883"        84.024         54.000          83.88         54.000        252.000        156.024           0.000           0.000
"Name Tag"                   "Avery 5384"        81.000         18.000          81.00         18.000        288.000        216.000           0.000           0.000
"Rotary Index Card"          "Avery 5385"        84.024         18.000          83.88         18.000        288.000        156.024           0.000           0.000
"Rotary Index Card"          "Avery 5386"        72.000        126.000          72.00        126.000        360.000        216.000           0.000           0.000
"Index Card"                 "Avery 5388"        72.000        126.000          72.00        126.000        360.000        216.000           0.000           0.000
"Index/Post Card"            "Avery 5389"       108.000         90.000         108.00         90.000        432.000        288.000           0.000           0.000
"Round"                      "Avery 5294"        36.000         18.000          36.00         18.000        180.000        180.000          18.000           0.000
